codigo_igac	departamento	municipio	barrio	via	placa	numero_placa	observaciones	latitud	longitud
3601001001000200004	ANTIOQUIA	Itagüí	1	CR	CR 41 N 53 - 48/56		Origen: 358799	1174115.82053	831116.995742
3601001001000200004	ANTIOQUIA	Itagüí	1	CR	CR 41 N 53 - 48/56		Origen: 358800	1174115.82053	831116.995742
3601001001000200007	ANTIOQUIA	Itagüí	1	CR	CR 41 N 53 - 06 A 201/301		Origen: 358801	NaN	NaN
3601001001000300001	ANTIOQUIA	Itagüí	1	CR	CR 41 N 54 - 65 INT 113		Origen: 358802	1174222.84493	831106.519342
3601001001000300001	ANTIOQUIA	Itagüí	1	CR	CR 41 N 54-79		Origen: 358803	1174222.84493	831106.519342
3601001001000300001	ANTIOQUIA	Itagüí	1	CR	CR 41 N 54 - 65 INT 214		Origen: 358804	1174222.84493	831106.519342
3601001001000300001	ANTIOQUIA	Itagüí	1	CR	CR 41 N 54 - 65 INT 210		Origen: 358805	1174222.84493	831106.519342
3601001001000300001	ANTIOQUIA	Itagüí	1	CR	CR 41 N 54-65 INT 119 A 201		Origen: 358806	1174222.84493	831106.519342
3601001001000300001	ANTIOQUIA	Itagüí	1	CR	CR 41 N 54-69		Origen: 358807	1174222.84493	831106.519342
3601001001000300001	ANTIOQUIA	Itagüí	1	CR	CR 41 N 54-69		Origen: 358808	1174222.84493	831106.519342
3601001001000300001	ANTIOQUIA	Itagüí	1	CR	CR 41 N 54-45 A 202		Origen: 358809	1174222.84493	831106.519342
3601001001000300001	ANTIOQUIA	Itagüí	1	CR	CR 41 N 54-65		Origen: 358810	1174222.84493	831106.519342
3601001001000300001	ANTIOQUIA	Itagüí	1	CR	CR 41 N 54-65 INT 129		Origen: 358811	1174222.84493	831106.519342
3601001001000300001	ANTIOQUIA	Itagüí	1	CR	CR 41 N 54-65 INT 133		Origen: 358812	1174222.84493	831106.519342
3601001001000300001	ANTIOQUIA	Itagüí	1	CR	CR 41 N 54-65 INT 108		Origen: 358813	1174222.84493	831106.519342
3601001001000300001	ANTIOQUIA	Itagüí	1	CR	CR 41 N 54-45   A 301		Origen: 358814	1174222.84493	831106.519342
3601001001000300001	ANTIOQUIA	Itagüí	1	CR	CR 41 N 54-69		Origen: 358815	1174222.84493	831106.519342
3601001001000300001	ANTIOQUIA	Itagüí	1	CR	CR 41 N 54 - 65 INT 314		Origen: 358816	1174222.84493	831106.519342
3601001001000300001	ANTIOQUIA	Itagüí	1	CR	CR 41 N 54-65 INT 125		Origen: 358817	1174222.84493	831106.519342
3601001001000300001	ANTIOQUIA	Itagüí	1	CR	CR 41 N 54-43 L		Origen: 358818	1174222.84493	831106.519342
3601001001000300001	ANTIOQUIA	Itagüí	1	CR	CR 41 N 54-45/49		Origen: 358819	1174222.84493	831106.519342
3601001001000300001	ANTIOQUIA	Itagüí	1	CR	CR 41 N 54 - 65 INT 314		Origen: 358820	1174222.84493	831106.519342
3601001001000300001	ANTIOQUIA	Itagüí	1	CR	CR 41 N 54 - 65 INT 237 A 201		Origen: 358821	1174222.84493	831106.519342
3601001001000300001	ANTIOQUIA	Itagüí	1	CR	CR 41 N 54-65 INT 112		Origen: 358822	1174222.84493	831106.519342
3601001001000300001	ANTIOQUIA	Itagüí	1	CR	CR 41 N 54 - 65 INT 337		Origen: 358823	1174222.84493	831106.519342
3601001001000300001	ANTIOQUIA	Itagüí	1	CR	CR 41 N 54 - 65 INT 116 A 315		Origen: 358824	1174222.84493	831106.519342
3601001001000300001	ANTIOQUIA	Itagüí	1	CR	CR 41 N 54-65 INT 116 A 215		Origen: 358825	1174222.84493	831106.519342
3601001001000300001	ANTIOQUIA	Itagüí	1	CR	CR 41 N 54-65 INT 105		Origen: 358826	1174222.84493	831106.519342
3601001001000300001	ANTIOQUIA	Itagüí	1	CR	CR 41 N 54-53		Origen: 358827	1174222.84493	831106.519342
3601001001000300001	ANTIOQUIA	Itagüí	1	CR	CR 41 N 54-65 INT 116		Origen: 358828	1174222.84493	831106.519342
3601001001000300001	ANTIOQUIA	Itagüí	1	CR	CR 41 N 54 - 65 INT 116 A 315		Origen: 358829	1174222.84493	831106.519342
3601001001000300001	ANTIOQUIA	Itagüí	1	CR	CR 41 N 54 - 65 INT 437		Origen: 358830	1174222.84493	831106.519342
3601001001000300001	ANTIOQUIA	Itagüí	1	CR	CR 41 N 54-65 INT 119		Origen: 358831	1174222.84493	831106.519342
3601001001000300001	ANTIOQUIA	Itagüí	1	CR	CR 41 N 54-65 INT 303 CON CR 41 N 54 - 61		Origen: 358832	1174222.84493	831106.519342
3601001001000300002	ANTIOQUIA	Itagüí	1	CR	CR 40 N 51-04 A 301		Origen: 358833	1173775.34333	831027.457342
3601001001000300002	ANTIOQUIA	Itagüí	1	CR	CR 40 N 51-263 A 201/202		Origen: 358834	1173775.34333	831027.457342
3601001001000300002	ANTIOQUIA	Itagüí	1	CR	CR 40 N 51-61/63		Origen: 358835	1173775.34333	831027.457342
3601001001000300002	ANTIOQUIA	Itagüí	1	CR	CR 40 N 51-77		Origen: 358836	1173775.34333	831027.457342
3601001001000300002	ANTIOQUIA	Itagüí	1	CR	CR 40 N 51-143		Origen: 358837	1173775.34333	831027.457342
3601001001000300002	ANTIOQUIA	Itagüí	1	CR	CR 40 N 51 - 89 A 302		Origen: 358838	1173775.34333	831027.457342
3601001001000300002	ANTIOQUIA	Itagüí	1	CR	CR 40 N 51 - 245 A 201/202		Origen: 358839	1173775.34333	831027.457342
3601001001000300002	ANTIOQUIA	Itagüí	1	CR	CR 40 N 51-89 A 201		Origen: 358840	1173775.34333	831027.457342
3601001001000300002	ANTIOQUIA	Itagüí	1	CR	CR 40 N 51 - 91 A 202		Origen: 358841	1173775.34333	831027.457342
