via,placa,numero_placa,latitud,longitud
CL 99A,25C-08,,6.28768776,-75.54050374
CL 99A,25C-10,,6.28767519,-75.54053423
CR 25C,99A-17,,6.28778004,-75.54037209
CR 26C,99A-36,,6.2878158,-75.54090765
CR 26C,99A-16,,6.28772559,-75.5409118
CL 99A,25C-40,,6.28762487,-75.54068252
CR 30C,100B-34,,6.28916468,-75.54233223
CR 30C,100B-48,,6.28926045,-75.54231071
CR 30B,100B-44,,6.28925462,-75.54203896
CR 30B,100B-36,,6.28921607,-75.54205055
CR 30B,100B-16,,6.289129,-75.5420627
CR 73A,21-08,,6.22477672,-75.59497895
CR 73A,21-55,,6.22515672,-75.59496933
CR 26C,99A-12 (0105),,6.28771911,-75.54081542
CL 97A,34-52,,6.28779104,-75.54472343
CL 97A,34-48,,6.28779386,-75.54468509
CL 98,34-43,,6.28787338,-75.54472146
CQ 2,73-82,,6.24391312,-75.59222187
CQ 3,73-91,,6.24429043,-75.59256416
CQ 3,73-101,,6.24419305,-75.59262905
CQ 2,73-74,,6.24400571,-75.59216038
CQ 3,73-85,,6.24436653,-75.5925075
CQ 3,73-77,,6.24441868,-75.59246679
CL 49A,99EE-16,,6.26775351,-75.61392709
CQ 2,73-60,,6.24409162,-75.59209398
CQ 2,73-50,,6.24421683,-75.59199253
CQ 2,73-54,,6.24415116,-75.59204575
CL 44A,108-97,,6.25788637,-75.62288171
CR 46,108A-38,,6.29857034,-75.54976998
CR 46,108A-40,,6.29862295,-75.54974029
CL 100,37-35 LOTE,,6.28974853,-75.54646501
CR 37,99C-07 LOTE,,6.28956323,-75.54628839
CR 107,15-48,,6.22205517,-75.6315117
CL 98,34-39,,6.28782738,-75.54467861
CL 98,34-45,,6.2879024,-75.54474218
CL 98,34-49,,6.28792037,-75.54475378
CL 98,34-53,,6.287937,-75.54476452
CL 100,37-23 LOTE,,6.28972866,-75.54640434
CR 37A,99C-02 LOTE,,6.28964186,-75.546522
CL 99C,37-24 LOTE,,6.289576,-75.54645584
CL 99C,37-16 LOTE,,6.28955287,-75.54638481
CL 39AD,115B-47,,6.25108227,-75.62759547
CL 39AD,115B-51,,6.25109513,-75.62765369
CL 39AD,115B-77,,6.25112516,-75.62788465
CL 39AC,115B-98,,6.25094542,-75.62799713
CL 39AD,115B-87,,6.25113693,-75.62796611
CL 39AC,115B-20,,6.25089768,-75.62750079
CL 39AD,115B-37,,6.2510869,-75.62754119
CR 45,108-101,,6.29866172,-75.54955461
CR 46,108A-50,,6.29873877,-75.54966265
CL 11,43D-50,,6.21245238,-75.57227006
CL 100B,25-51,,6.28840296,-75.53987256
CL 100B,25-33,,6.28830519,-75.53965918
CL 100B,25-23,,6.28843455,-75.53965521
CR 30CC,100B-52,,6.28925935,-75.54245787
CL 100BB,30C-11,,6.28935867,-75.54235127
CR 30C,100B-45,,6.28921582,-75.54234683
CL 100BB,30C-05,,6.28939467,-75.54230108
CL 18 SUR,41AA-149,,6.1853009,-75.57784266
CR 43A,18 SUR-84,,6.18496789,-75.57871878
CL 39BE,113B-48,,6.25167259,-75.62601353
CL 39BF,113B-64 (0101),,6.25177908,-75.62594353
CL 39BE,113B-46,,6.25158501,-75.62598125
CL 39BE,113B-64,,6.25175291,-75.62601735
CL 39BF,113B-79 (0111),,6.25170306,-75.62585132
CR 45,108-35,,6.29804119,-75.5496458
CR 45,108-95,,6.29861314,-75.5495632
CL 59C,18B-81 (0160),,6.25290695,-75.54044475
CL 59C,18B-81 (0161),,6.25293066,-75.54047446
CL 59C,18B-81 (0163),,6.25300493,-75.54049348
CL 59C,18B-81 (0170),,6.25290033,-75.54053362
CL 59C,18B-81 (0168),,6.25300139,-75.54061232
CR 38,70-40,,6.26514801,-75.54919242
CR 38,70-42,,6.26517099,-75.54919025
CR 38,70-62,,6.26530399,-75.54917812
CR 38,70-64,,6.26533594,-75.54917529
CL 71,37-11,,6.2656494,-75.54863152
CL 71,37-13,,6.26565178,-75.54865435
CR 37,70-71,,6.26537552,-75.54858791
CR 37,70-69,,6.26535468,-75.54859068
CR 38,70-76,,6.26541303,-75.54916843
CR 46,108-16,,6.29793043,-75.55011026
CL 39BE,113B-50,,6.25169195,-75.62601451
CR 46,108A-42,,6.29864405,-75.54972864
CR 46,108A-56,,6.29875968,-75.54965123
CL 81,87-42,,6.28768339,-75.58684514
CR 45,108-25,,6.29796316,-75.54977153
CR 46,14-09,,6.21498825,-75.57486776
CR 46,14-31,,6.21520759,-75.57484565
CR 46,14-13,,6.21510679,-75.57485581
CL 81,87-44,,6.28769406,-75.58685873
CR 107,15-53,,6.22210679,-75.63153516
CL 17,106D-55,,6.22220971,-75.63131535
CL 17,106D-49 (0105),,6.22215351,-75.63128482
CL 99AA,37-04,,6.28919387,-75.54640297
CR 37,99AA-03,,6.28920918,-75.54634498
CL 99AA,37-10,,6.28920506,-75.54644188
CR 46,108-10,,6.29791717,-75.55011963
CR 46,108A-22,,6.2984173,-75.54985657
CL 99B,37-27,,6.28933178,-75.54652237
CR 37,99AA-07,,6.2892422,-75.54635028
CL 99AA,37-16,,6.28922426,-75.54651674
CR 38C,99C-18,,6.28995687,-75.54740503
CR 37,99-07,,6.28896644,-75.54642382
CR 37,99-09,,6.28899444,-75.5464155
CR 37A,99-08,,6.28901169,-75.54658226
CR 37A,99-14,,6.28904163,-75.54657131
CR 37A,99-02,,6.28896991,-75.54660434
CL 99,37-14,,6.28891789,-75.54653063
CR 38B,99C-19,,6.28994431,-75.54728217
CL 99,37-06,,6.28890697,-75.5464889
CR 46,108-40,,6.29814063,-75.5500014
CR 46,108-26,,6.29803058,-75.55004566
CL 99C,38B-14,,6.28983546,-75.54744611
CR 46,108A-58,,6.29879971,-75.54962935
CR 45,108-23,,6.29795128,-75.54979396
