codigo_igac	departamento	municipio	barrio	via	placa	numero_placa	observaciones	latitud	longitud
OSM-847868805	ANTIOQUIA	La Estrella		Calle	Calle 80 Sur # 60-44	60-44	Origen: OpenStreetMap	6.1580123	-75.6433414
OSM-3605755935	ANTIOQUIA	La Estrella		Calle	Calle 80 Sur # 76	76	Origen: OpenStreetMap	6.1576977	-75.6424434
OSM-4382694464	ANTIOQUIA	La Estrella		Calle	Calle 77 Sur # 50A-290	50A-290	Origen: OpenStreetMap	6.1580439	-75.6267595
OSM-4425401089	ANTIOQUIA	La Estrella		Calle	Calle 99 Sur # 56-35	56-35	Origen: OpenStreetMap	6.1270574	-75.640933
OSM-4615510490	ANTIOQUIA	La Estrella		Calle	Calle 81 Sur # 63-12	63-12	Origen: OpenStreetMap	6.1582179	-75.6454349
OSM-5227169321	ANTIOQUIA	La Estrella		Calle	Calle 77 Sur # 50a 184	50a 184	Origen: OpenStreetMap	6.158775	-75.6263442
OSM-8085086034	ANTIOQUIA	La Estrella		Calle	Calle 81 Sur # 65-100	65-100	Origen: OpenStreetMap	6.159184	-75.6472393
OSM-9149481669	ANTIOQUIA	La Estrella		Plaza	Plaza del Ayuntamiento # 1	1	Origen: OpenStreetMap	39.6895989	-5.093444
OSM-11563629711	ANTIOQUIA	La Estrella		Calle	Calle 80 Sur # 60 - 38 Heco	60 - 38 Heco	Origen: OpenStreetMap	6.1580198	-75.6434022
OSM-13541870399	ANTIOQUIA	La Estrella		Calle	Calle 74 # Calle 74 sur #57-467	Calle 74 sur #57-467	Origen: OpenStreetMap	6.1644667	-75.6431869
OSM-479177220	ANTIOQUIA	La Estrella		Calle	Calle 80 Sur # No. 58 78	No. 58 78	Origen: OpenStreetMap	6.1579441	-75.6416733
OSM-498111005	ANTIOQUIA	La Estrella		87	87 sur # #65a-296	#65a-296	Origen: OpenStreetMap	6.1543814	-75.6530423
OSM-578190889	ANTIOQUIA	La Estrella		Calle	Calle 80 Sur # 56B-68	56B-68	Origen: OpenStreetMap	6.1565	-75.6394271
OSM-578190890	ANTIOQUIA	La Estrella		Calle	Calle 79 Sur # 61-61	61-61	Origen: OpenStreetMap	6.1589746	-75.6437748
OSM-959831553	ANTIOQUIA	La Estrella		Carrera	Carrera 52 # #99Sur-96	#99Sur-96	Origen: OpenStreetMap	6.119546	-75.6357671
OSM-998878469	ANTIOQUIA	La Estrella		Calle	Calle 81 Sur # 69-38	69-38	Origen: OpenStreetMap	6.1594417	-75.6568333
OSM-1078675260	ANTIOQUIA	La Estrella		Cl.	Cl. 81 Sur # #N° 59 115	#N° 59 115	Origen: OpenStreetMap	6.1568026	-75.6428646
OSM-1078676037	ANTIOQUIA	La Estrella		Cra.	Cra. 60 #82 Sur - 70 Local 102 # #82 Sur	#82 Sur	Origen: OpenStreetMap	6.1558575	-75.643098
OSM-1197857585	ANTIOQUIA	La Estrella		Calle	Calle 80 Sur # 56-90	56-90	Origen: OpenStreetMap	6.1562241	-75.6388414
OSM-1304749221	ANTIOQUIA	La Estrella		Carrera	Carrera 62A # 76 Sur 60	76 Sur 60	Origen: OpenStreetMap	6.1609599	-75.6438558
OSM-4820694621	ANTIOQUIA	Caldas		Calle	Calle 133 Sur # 48-16	48-16	Origen: OpenStreetMap	6.0890323	-75.6345518
OSM-5306945322	ANTIOQUIA	Caldas		Calle	Calle 132 Sur # 49-51	49-51	Origen: OpenStreetMap	6.089706	-75.6356329
OSM-7408782635	ANTIOQUIA	Caldas		Calle	Calle 142A Sur # 50-25	50-25	Origen: OpenStreetMap	6.0806066	-75.6346561
OSM-8880706399	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 49-34	49-34	Origen: OpenStreetMap	6.0930845	-75.6356456
OSM-8880711991	ANTIOQUIA	Caldas		Calle	Calle 131 Sur # 51-54	51-54	Origen: OpenStreetMap	6.0906427	-75.6373709
OSM-9342467529	ANTIOQUIA	Caldas		Carrera	Carrera 49 # 128 Sur-14	128 Sur-14	Origen: OpenStreetMap	6.0926819	-75.6351145
OSM-9895631530	ANTIOQUIA	Caldas		Calle	Calle 127B Sur # 41-40	41-40	Origen: OpenStreetMap	6.0945966	-75.6279624
OSM-10316689059	ANTIOQUIA	Caldas		carrera	carrera 50 # 128 sur 39	128 sur 39	Origen: OpenStreetMap	6.0925715	-75.6363494
OSM-10316695174	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 50-42	50-42	Origen: OpenStreetMap	6.0930466	-75.6365997
OSM-13527653532	ANTIOQUIA	Caldas		Carrera	Carrera 49 # 129 Sur-50	129 Sur-50	Origen: OpenStreetMap	6.0919361	-75.6349106
OSM-13704823110	ANTIOQUIA	Caldas		Carrera	Carrera 45 # 127 Sur-7	127 Sur-7	Origen: OpenStreetMap	6.0949574	-75.6320139
OSM-13707181794	ANTIOQUIA	Caldas		Carrera	Carrera 45 # 143 Sur-273	143 Sur-273	Origen: OpenStreetMap	6.0772034	-75.6320885
OSM-13710109609	ANTIOQUIA	Caldas		Carrera	Carrera 45 # 125 Sur-151	125 Sur-151	Origen: OpenStreetMap	6.0951502	-75.6318837
OSM-13712631948	ANTIOQUIA	Caldas		Carrera	Carrera 45 # 117 Sur-555	117 Sur-555	Origen: OpenStreetMap	6.0974687	-75.6345298
OSM-13712680041	ANTIOQUIA	Caldas		Carrera	Carrera 45 # 117 Sur-871	117 Sur-871	Origen: OpenStreetMap	6.0967398	-75.6325304
OSM-13712680055	ANTIOQUIA	Caldas		Carrera	Carrera 45 # 117 Sur-791	117 Sur-791	Origen: OpenStreetMap	6.0971542	-75.6329164
OSM-13722476398	ANTIOQUIA	Caldas		Carrera	Carrera 45 # 117 Sur-25	117 Sur-25	Origen: OpenStreetMap	6.1021059	-75.6351306
OSM-13722476399	ANTIOQUIA	Caldas		Carrera	Carrera 45 # 117 Sur-67	117 Sur-67	Origen: OpenStreetMap	6.1019125	-75.6351319
OSM-13736708262	ANTIOQUIA	Caldas		Carrera	Carrera 45 # 129 Sur-16	129 Sur-16	Origen: OpenStreetMap	6.0923416	-75.6313984
OSM-13741111608	ANTIOQUIA	Caldas		Carrera	Carrera 45 # 129 Sur-72	129 Sur-72	Origen: OpenStreetMap	6.0917534	-75.6314483
OSM-13743554806	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 46-101	46-101	Origen: OpenStreetMap	6.093036	-75.6341206
OSM-13743742455	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 129 Sur-18	129 Sur-18	Origen: OpenStreetMap	6.0921278	-75.6343529
OSM-13743742456	ANTIOQUIA	Caldas		Calle	Calle 129 Sur # 47-17	47-17	Origen: OpenStreetMap	6.0922777	-75.6340988
OSM-13744240715	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 131 Sur-98	131 Sur-98	Origen: OpenStreetMap	6.0898481	-75.6343823
OSM-13744240721	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 131 Sur-78	131 Sur-78	Origen: OpenStreetMap	6.0900161	-75.6343888
OSM-13747297076	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 132A Sur-16	132A Sur-16	Origen: OpenStreetMap	6.0892625	-75.6343445
OSM-13747436702	ANTIOQUIA	Caldas		Calle	Calle 133 Sur # 47-8	47-8	Origen: OpenStreetMap	6.0890347	-75.6339862
OSM-13747436726	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 132A Sur-36	132A Sur-36	Origen: OpenStreetMap	6.0890791	-75.6343458
OSM-13751660000	ANTIOQUIA	Caldas		Carrera	Carrera 48 # 130 Sur-60	130 Sur-60	Origen: OpenStreetMap	6.09101	-75.6343869
OSM-13751693104	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 46-59	46-59	Origen: OpenStreetMap	6.0930563	-75.6337286
OSM-13751693105	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 46-69	46-69	Origen: OpenStreetMap	6.0930476	-75.6338626
OSM-13751693106	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 46-73	46-73	Origen: OpenStreetMap	6.0930412	-75.6339685
OSM-13751693107	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 46-113	46-113	Origen: OpenStreetMap	6.0930278	-75.6342658
OSM-13751693108	ANTIOQUIA	Caldas		Calle	Calle 129 Sur # 47-32	47-32	Origen: OpenStreetMap	6.0923753	-75.6342225
