codigo_igac	departamento	municipio	barrio	via	placa	numero_placa	observaciones	latitud	longitud
OSM-4820694621	ANTIOQUIA	Caldas		Calle	Calle 133 Sur # 48-16	48-16	Origen: OpenStreetMap	6.0890323	-75.6345518
OSM-5306945322	ANTIOQUIA	Caldas		Calle	Calle 132 Sur # 49-51	49-51	Origen: OpenStreetMap	6.089706	-75.6356329
OSM-7408782635	ANTIOQUIA	Caldas		Calle	Calle 142A Sur # 50-25	50-25	Origen: OpenStreetMap	6.0806066	-75.6346561
OSM-8880706399	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 49-34	49-34	Origen: OpenStreetMap	6.0930845	-75.6356456
OSM-8880711991	ANTIOQUIA	Caldas		Calle	Calle 131 Sur # 51-54	51-54	Origen: OpenStreetMap	6.090624	-75.6373279
OSM-9342467529	ANTIOQUIA	Caldas		Carrera	Carrera 49 # 128 Sur-14	128 Sur-14	Origen: OpenStreetMap	6.0926819	-75.6351145
OSM-9895631530	ANTIOQUIA	Caldas		Calle	Calle 127B Sur # 41-40	41-40	Origen: OpenStreetMap	6.0945966	-75.6279624
OSM-10316651679	ANTIOQUIA	Caldas		Carrera	Carrera 49 # 129 Sur-18	129 Sur-18	Origen: OpenStreetMap	6.0921002	-75.6352306
OSM-10316689059	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 128 Sur-39	128 Sur-39	Origen: OpenStreetMap	6.0925511	-75.6361871
OSM-10316695174	ANTIOQUIA	Caldas		Calle	Calle 128 Sur # 50-42	50-42	Origen: OpenStreetMap	6.0930466	-75.6365997
OSM-10805567805	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 128 Sur-27	128 Sur-27	Origen: OpenStreetMap	6.092683	-75.6361955
OSM-10805620205	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 130 Sur-18	130 Sur-18	Origen: OpenStreetMap	6.0912753	-75.6359861
OSM-10825651852	ANTIOQUIA	Caldas		Calle	Calle 130 Sur # 50-44	50-44	Origen: OpenStreetMap	6.0914	-75.6370083
OSM-10825656714	ANTIOQUIA	Caldas		Calle	Calle 130 Sur # 50-77	50-77	Origen: OpenStreetMap	6.0913194	-75.63675
OSM-10847502551	ANTIOQUIA	Caldas		Carrera	Carrera 50 # 129-1	129-1	Origen: OpenStreetMap	6.0921619	-75.6361761
