codigo_igac	departamento	municipio	barrio	via	placa	numero_placa	observaciones	latitud	longitud
OSM-1070047914	ANTIOQUIA	Envigado		Carrera	Carrera 20 # 25 Sur - 81	25 Sur - 81	Origen: OpenStreetMap	6.1721676	-75.5622951
OSM-1190191166	ANTIOQUIA	Envigado		Avenida	Avenida El Poblado # Iglesia San Marcos	Iglesia San Marcos	Origen: OpenStreetMap	6.175762	-75.5858987
OSM-1279211879	ANTIOQUIA	Envigado		Carrera	Carrera 43A # 27A Sur - 11	27A Sur - 11	Origen: OpenStreetMap	6.1791816	-75.5838794
OSM-1279211880	ANTIOQUIA	Envigado		Calle	Calle 27 Sur # 43A-61	43A-61	Origen: OpenStreetMap	6.1793609	-75.5840904
OSM-2440983642	ANTIOQUIA	Envigado		Carrera	Carrera 45A # 34 sur 57	34 sur 57	Origen: OpenStreetMap	6.1734428	-75.5890556
OSM-3001438666	ANTIOQUIA	Envigado		Calle	Calle 23 Sur # 15-115	15-115	Origen: OpenStreetMap	6.1738502	-75.5597026
OSM-3094061727	ANTIOQUIA	Envigado		Calle	Calle 36 Sur # 23-15	23-15	Origen: OpenStreetMap	6.1674033	-75.5610433
OSM-3110420831	ANTIOQUIA	Envigado		Calle	Calle 25 B Sur # 45-75	45-75	Origen: OpenStreetMap	6.1824765	-75.5856724
OSM-3110437189	ANTIOQUIA	Envigado		Carrera	Carrera 43A # 27A Sur - 81	27A Sur - 81	Origen: OpenStreetMap	6.1785624	-75.5842522
OSM-3110442460	ANTIOQUIA	Envigado		Carrera	Carrera 48 # 30 Sur - 119	30 Sur - 119	Origen: OpenStreetMap	6.1782234	-75.5895617
OSM-3503101973	ANTIOQUIA	Envigado		Calle	Calle 25 Sur # 46-21	46-21	Origen: OpenStreetMap	6.1828857	-75.583238
OSM-3685653132	ANTIOQUIA	Envigado		Avenida	Avenida Las Vegas # 46 Sur - 150	46 Sur - 150	Origen: OpenStreetMap	6.1636133	-75.5995452
OSM-4285034591	ANTIOQUIA	Envigado		Transversal	Transversal 33Sur # 33-42	33-42	Origen: OpenStreetMap	6.173806	-75.5847409
OSM-4320503289	ANTIOQUIA	Envigado		Carrera	Carrera 40 # 40D Sur 49	40D Sur 49	Origen: OpenStreetMap	6.1649048	-75.5886087
OSM-4346819189	ANTIOQUIA	Envigado		Carrera	Carrera 48 # 26 sur - 181	26 sur - 181	Origen: OpenStreetMap	6.1826073	-75.5866226
OSM-4484851289	ANTIOQUIA	Envigado		Carrera	Carrera 41 # 40 G Sur - 03	40 G Sur - 03	Origen: OpenStreetMap	6.1649507	-75.5902267
OSM-4537662893	ANTIOQUIA	Envigado		Carrera	Carrera 39E # 48F Sur 150	48F Sur 150	Origen: OpenStreetMap	6.1539901	-75.5974841
OSM-4545698093	ANTIOQUIA	Envigado		Las	Las Palmas # Kilómetro 17	Kilómetro 17	Origen: OpenStreetMap	6.154028	-75.5345708
OSM-5394858824	ANTIOQUIA	Envigado		Calle	Calle 30a Sur # 44A - 07	44A - 07	Origen: OpenStreetMap	6.1771472	-75.5861839
OSM-5443797422	ANTIOQUIA	Envigado		Transversal	Transversal 31 Sur # 32D-13	32D-13	Origen: OpenStreetMap	6.1764769	-75.5844692
OSM-5856744648	ANTIOQUIA	Envigado		Avenida	Avenida Carrera 48 # 30 - 119	30 - 119	Origen: OpenStreetMap	6.1780448	-75.5898014
OSM-6190906685	ANTIOQUIA	Envigado		Calle	Calle 36 Sur # 22-05 119	22-05 119	Origen: OpenStreetMap	6.1638233	-75.5537561
OSM-6460216755	ANTIOQUIA	Envigado		Calle	Calle 53C Sur # 43-74	43-74	Origen: OpenStreetMap	6.157919	-75.6040195
OSM-6562169985	ANTIOQUIA	Envigado		Calle	Calle 39 Sur # 34A-07	34A-07	Origen: OpenStreetMap	6.1651437	-75.5835964
OSM-6807095680	ANTIOQUIA	Envigado		Calle	Calle 37 sur # 90	90	Origen: OpenStreetMap	6.1603052	-75.5719524
OSM-7018563985	ANTIOQUIA	Envigado		Calle	Calle 38 Sur # 34-54	34-54	Origen: OpenStreetMap	6.1669822	-75.583082
OSM-7155200485	ANTIOQUIA	Envigado		Calle	Calle 48C Sur # 42A 80	42A 80	Origen: OpenStreetMap	6.160278	-75.5961682
OSM-7160430985	ANTIOQUIA	Envigado		Calle	Calle 48C Sur # 42A 80	42A 80	Origen: OpenStreetMap	6.1595806	-75.5961916
OSM-7194245500	ANTIOQUIA	Envigado		Calle	Calle 53C Sur # 43 - 74	43 - 74	Origen: OpenStreetMap	6.1580294	-75.604118
OSM-7204279887	ANTIOQUIA	Envigado		Calle	Calle 53C Sur # 43 - 74	43 - 74	Origen: OpenStreetMap	6.1579729	-75.6040718
OSM-8144809036	ANTIOQUIA	Envigado		Carrera	Carrera 48 # 49sur-56	49sur-56	Origen: OpenStreetMap	6.1626541	-75.6027191
OSM-9279122511	ANTIOQUIA	Envigado		Carrera	Carrera 44A # 38A Sur 09	38A Sur 09	Origen: OpenStreetMap	6.170031	-75.589814
OSM-9572003566	ANTIOQUIA	Envigado		Calle	Calle 34 Sur # 43A-41	43A-41	Origen: OpenStreetMap	6.1731106	-75.5874144
OSM-9728013428	ANTIOQUIA	Envigado		Carrera	Carrera 42 # 39S - 40	39S - 40	Origen: OpenStreetMap	6.1674535	-75.5883524
OSM-10012468919	ANTIOQUIA	Envigado		Calle	Calle 41B Sur # 25-14	25-14	Origen: OpenStreetMap	6.1549331	-75.5844665
OSM-10717628760	ANTIOQUIA	Envigado		Carrera	Carrera 27AA # 36S-151	36S-151	Origen: OpenStreetMap	6.1670303	-75.5715635
OSM-10717628761	ANTIOQUIA	Envigado		Carrera	Carrera 27AA # 36S-151	36S-151	Origen: OpenStreetMap	6.1669943	-75.5716082
OSM-10729863505	ANTIOQUIA	Envigado		Calle	Calle 40 Sur # 31-1	31-1	Origen: OpenStreetMap	6.163076	-75.582765
OSM-11531150525	ANTIOQUIA	Envigado		Carrera	Carrera 48 # 32BSur-139	32BSur-139	Origen: OpenStreetMap	6.1778331	-75.5915607
OSM-12248567601	ANTIOQUIA	Envigado		Calle	Calle 31 Sur # 44a 16	44a 16	Origen: OpenStreetMap	6.1768487	-75.5862819
OSM-12389361456	ANTIOQUIA	Envigado		Km	Km 15+990 Mall Le Mont Comercio, Consultorio 0335 # Via Las Palmas	Via Las Palmas	Origen: OpenStreetMap	6.1529237	-75.5377568
OSM-12548062116	ANTIOQUIA	Envigado		Calle	Calle 30 Sur # 43A-51	43A-51	Origen: OpenStreetMap	6.1771244	-75.5854652
OSM-13746570999	ANTIOQUIA	Envigado		Calle	Calle 46E Sur #39D-30 # 301	301	Origen: OpenStreetMap	6.1595397	-75.5930415
OSM-13963046501	ANTIOQUIA	Envigado		Calle	Calle 30 Sur # 43a-39	43a-39	Origen: OpenStreetMap	6.1772598	-75.5856833
OSM-44877798	ANTIOQUIA	Envigado		Variante	Variante Aeropuerto JMC # km 2+200	km 2+200	Origen: OpenStreetMap	6.1567766	-75.5167778
OSM-134654718	ANTIOQUIA	Envigado		Carrera	Carrera 43A # 50D Sur -106	50D Sur -106	Origen: OpenStreetMap	6.158222	-75.6039249
OSM-134654801	ANTIOQUIA	Envigado		Calle	Calle 53C Sur # 40B-160	40B-160	Origen: OpenStreetMap	6.1571102	-75.6036179
OSM-208273709	ANTIOQUIA	Envigado		Carrera	Carrera 41 # 36 sur 37	36 sur 37	Origen: OpenStreetMap	6.1701971	-75.586062
OSM-297286284	ANTIOQUIA	Envigado		Calle	Calle 25 sur # 48-41	48-41	Origen: OpenStreetMap	6.1857653	-75.5839191
OSM-304798257	ANTIOQUIA	Envigado		Carrera	Carrera 27 # 36 Sur - 162	36 Sur - 162	Origen: OpenStreetMap	6.1676796	-75.5689024
OSM-306195592	ANTIOQUIA	Envigado		Carrera	Carrera 45 # 26 Sur - 03	26 Sur - 03	Origen: OpenStreetMap	6.1809539	-75.5855246
OSM-351846449	ANTIOQUIA	Envigado		Calle	Calle 26 Sur # 43A - 30	43A - 30	Origen: OpenStreetMap	6.1818325	-75.5839395
OSM-355766258	ANTIOQUIA	Envigado		Calle	Calle 25 Sur # 20-110	20-110	Origen: OpenStreetMap	6.1736741	-75.5631829
OSM-362658560	ANTIOQUIA	Envigado		Calle	Calle 40C Sur # 38-85	38-85	Origen: OpenStreetMap	6.1634712	-75.586608
OSM-552362722	ANTIOQUIA	Envigado		Carrera	Carrera 42 # 37 Sur-20	37 Sur-20	Origen: OpenStreetMap	6.1698067	-75.5869608
OSM-576922903	ANTIOQUIA	Envigado		Calle	Calle 38 Sur # 46-26	46-26	Origen: OpenStreetMap	6.1721652	-75.5916017
OSM-589283250	ANTIOQUIA	Envigado		Carrera	Carrera 45 # 2	2	Origen: OpenStreetMap	6.1731119	-75.5888406
OSM-724068839	ANTIOQUIA	Envigado		Carrera	Carrera 27 # Calle 38B Sur #  26-01	Calle 38B Sur #  26-01	Origen: OpenStreetMap	6.1571196	-75.57849
OSM-735343830	ANTIOQUIA	Envigado		Calle	Calle 39 Sur 22 # Carrera 44A	Carrera 44A	Origen: OpenStreetMap	6.1691537	-75.5907068
OSM-775431569	ANTIOQUIA	Envigado		Calle	Calle 53 Sur # 40-78	40-78	Origen: OpenStreetMap	6.1565825	-75.60297
OSM-775431574	ANTIOQUIA	Envigado		Calle	Calle 53C Sur # 40 - 80	40 - 80	Origen: OpenStreetMap	6.1571178	-75.6032895
OSM-780913861	ANTIOQUIA	Envigado		Carrera	Carrera 20 # 25 Sur - 81	25 Sur - 81	Origen: OpenStreetMap	6.172	-75.5627387
OSM-842377696	ANTIOQUIA	Envigado		Calle	Calle 36 Sur 25B-86 # 105	105	Origen: OpenStreetMap	6.168765	-75.5663574
OSM-962497176	ANTIOQUIA	Envigado		Calle	Calle 40 Sur # 42 – 16	42 – 16	Origen: OpenStreetMap	6.1652843	-75.5911751
OSM-969452935	ANTIOQUIA	Envigado		Call	Call 24 Sur # 39-37	39-37	Origen: OpenStreetMap	6.1781129	-75.5752301
OSM-1005693222	ANTIOQUIA	Envigado		Carrerra	Carrerra 27 # 25 - 27	25 - 27	Origen: OpenStreetMap	6.1572178	-75.577158
OSM-1005693223	ANTIOQUIA	Envigado		Carrerra	Carrerra 27 # 25 - 27	25 - 27	Origen: OpenStreetMap	6.1574325	-75.5774056
OSM-1005693224	ANTIOQUIA	Envigado		Carrerra	Carrerra 27 # 25 - 27	25 - 27	Origen: OpenStreetMap	6.15744	-75.5777696
OSM-1005709180	ANTIOQUIA	Envigado		Calle	Calle 38B Sur # 26 - 02	26 - 02	Origen: OpenStreetMap	6.1568061	-75.5777729
OSM-1005710533	ANTIOQUIA	Envigado		Calle	Calle 40A Sur # 24B - 105	24B - 105	Origen: OpenStreetMap	6.1520753	-75.5815896
OSM-1059314616	ANTIOQUIA	Envigado		Calle	Calle 37 Sur # 43-58	43-58	Origen: OpenStreetMap	6.1711623	-75.587934
OSM-1059870239	ANTIOQUIA	Envigado		Calle	Calle 21 Sur # 41-117	41-117	Origen: OpenStreetMap	6.1816528	-75.5771812
OSM-1074659396	ANTIOQUIA	Envigado		Carrera	Carrera 25 # 39D Sur 60	39D Sur 60	Origen: OpenStreetMap	6.1531319	-75.5777777
OSM-1083071531	ANTIOQUIA	Envigado		Carrera	Carrera 27 # 36 Sur - 199	36 Sur - 199	Origen: OpenStreetMap	6.1695515	-75.5682626
OSM-1103998780	ANTIOQUIA	Envigado		Carrera	Carrera 27 # 36D Sur-35	36D Sur-35	Origen: OpenStreetMap	6.1628481	-75.5699917
OSM-1172192590	ANTIOQUIA	Envigado		Calle	Calle 25 Sur # 20 - 17	20 - 17	Origen: OpenStreetMap	6.1723956	-75.5630844
OSM-1216291211	ANTIOQUIA	Envigado		Calle	Calle 37 sur # 90	90	Origen: OpenStreetMap	6.1608788	-75.5718616
OSM-1224662704	ANTIOQUIA	Envigado		Carrera	Carrera 25 # 39 Sur - 15	39 Sur - 15	Origen: OpenStreetMap	6.1538762	-75.5749882
OSM-1232781452	ANTIOQUIA	Envigado		Carrera	Carrera 31 # #41AA Sur - 13	#41AA Sur - 13	Origen: OpenStreetMap	6.159923	-75.5861542
OSM-1232781454	ANTIOQUIA	Envigado		Carrera	Carrera 32 # #41AA Sur - 45	#41AA Sur - 45	Origen: OpenStreetMap	6.1603535	-75.5866016
OSM-1341947881	ANTIOQUIA	Envigado		Vía	Vía Las Palmas # Kilómetro 15 + 990 mts Alto de Palmas	Kilómetro 15 + 990 mts Alto de Palmas	Origen: OpenStreetMap	6.1532195	-75.5381344
OSM-1341947882	ANTIOQUIA	Envigado		Vía	Vía Las Palmas # Kilómetro 15 + 990 mts Alto de Palmas	Kilómetro 15 + 990 mts Alto de Palmas	Origen: OpenStreetMap	6.1527577	-75.5383297
OSM-1341947883	ANTIOQUIA	Envigado		Vía	Vía Las Palmas # Kilómetro 15 + 990 mts Alto de Palmas	Kilómetro 15 + 990 mts Alto de Palmas	Origen: OpenStreetMap	6.1530395	-75.5376529
OSM-1341947884	ANTIOQUIA	Envigado		Vía	Vía Las Palmas # Kilómetro 15 + 990 mts Alto de Palmas	Kilómetro 15 + 990 mts Alto de Palmas	Origen: OpenStreetMap	6.1535272	-75.5375092
OSM-1427844719	ANTIOQUIA	Envigado		Calle	Calle 27A Sur # 45-48	45-48	Origen: OpenStreetMap	6.1798616	-75.5852222
OSM-1428298119	ANTIOQUIA	Envigado		Calle	Calle 27 A Sur # 45 - 10	45 - 10	Origen: OpenStreetMap	6.179616	-75.5850897
OSM-1474183395	ANTIOQUIA	Envigado		Calle	Calle 37 sur # 27 - 200	27 - 200	Origen: OpenStreetMap	6.1618431	-75.5733051
OSM-1493720929	ANTIOQUIA	Envigado		Transversal	Transversal 35D Sur # transversal 35 D sur #32-69	transversal 35 D sur #32-69	Origen: OpenStreetMap	6.1684172	-75.5812418
OSM-1524525605	ANTIOQUIA	Envigado		Calle	Calle 39 DD sur 24EE-99 # 39DD	39DD	Origen: OpenStreetMap	6.1500092	-75.5765574
OSM-19584787	ANTIOQUIA	Envigado		Calle	Calle 27A Sur # 47 - 61	47 - 61	Origen: OpenStreetMap	6.1809884	-75.5868565
