codigo_igac	departamento	municipio	barrio	via	placa	numero_placa	observaciones	latitud	longitud
OSM-4698266191	ANTIOQUIA	Sabaneta		Carrera	Carrera 45 # 75B Sur 124	75B Sur 124	Origen: OpenStreetMap	6.1474326	-75.6188755
OSM-4823222522	ANTIOQUIA	Sabaneta		Calle	Calle 78 Sur # 40 - 210	40 - 210	Origen: OpenStreetMap	6.1434257	-75.6211769
OSM-5394900821	ANTIOQUIA	Sabaneta		centro	centro comercial Mallorca # local 50-51	local 50-51	Origen: OpenStreetMap	6.1606116	-75.6041876
OSM-5541512651	ANTIOQUIA	Sabaneta		Calle	Calle 62 Sur # 43C 12	43C 12	Origen: OpenStreetMap	6.1545799	-75.6105934
OSM-5541512676	ANTIOQUIA	Sabaneta		Calle	Calle 61B Sur # 40-21 Casa 58	40-21 Casa 58	Origen: OpenStreetMap	6.1514373	-75.6063597
OSM-5541512692	ANTIOQUIA	Sabaneta		Carrera	Carrera 43A # 62 sur - 41	62 sur - 41	Origen: OpenStreetMap	6.1537352	-75.6100404
OSM-5544078817	ANTIOQUIA	Sabaneta		Calle	Calle 68 Sur # 67S57	67S57	Origen: OpenStreetMap	6.1548408	-75.6163196
OSM-5544157983	ANTIOQUIA	Sabaneta		Calle	Calle 68 Sur # 68SN4429	68SN4429	Origen: OpenStreetMap	6.1522559	-75.6146171
OSM-6460216754	ANTIOQUIA	Sabaneta		Carrera	Carrera 43A # 53sur -40	53sur -40	Origen: OpenStreetMap	6.1576518	-75.6044464
OSM-6460216775	ANTIOQUIA	Sabaneta		Carrera	Carrera 43A # 56 Sur 30	56 Sur 30	Origen: OpenStreetMap	6.1565813	-75.6062277
OSM-7185464685	ANTIOQUIA	Sabaneta		Carrera	Carrera 49 # 52 SUR 200	52 SUR 200	Origen: OpenStreetMap	6.1598526	-75.6082186
OSM-7204274162	ANTIOQUIA	Sabaneta		Carrera	Carrera 43A # 55 sur - 21	55 sur - 21	Origen: OpenStreetMap	6.1571466	-75.6056976
OSM-7204279962	ANTIOQUIA	Sabaneta		Carrera	Carrera 43A # 63 Sur - 37	63 Sur - 37	Origen: OpenStreetMap	6.1537553	-75.6100274
OSM-7234364269	ANTIOQUIA	Sabaneta		Carrera	Carrera 48 # 55 - 214	55 - 214	Origen: OpenStreetMap	6.1583181	-75.6084134
OSM-7234364350	ANTIOQUIA	Sabaneta		Calle	Calle 55 Sur # 43A - 92	43A - 92	Origen: OpenStreetMap	6.157972	-75.6058606
OSM-7234364352	ANTIOQUIA	Sabaneta		Calle	Calle 55 Sur # 43A 62	43A 62	Origen: OpenStreetMap	6.1577079	-75.6056933
OSM-7253690739	ANTIOQUIA	Sabaneta		Carrera	Carrera 43A # 53C Sur 12	53C Sur 12	Origen: OpenStreetMap	6.1578123	-75.604348
OSM-7254387600	ANTIOQUIA	Sabaneta		Carrera	Carrera 43A # 60 Sur 41	60 Sur 41	Origen: OpenStreetMap	6.1556731	-75.6076065
OSM-7265311032	ANTIOQUIA	Sabaneta		Carrera	Carrera 43C # 61 sur 09	61 sur 09	Origen: OpenStreetMap	6.1553607	-75.610004
OSM-7265311045	ANTIOQUIA	Sabaneta		Calle	Calle 62 Sur # 43A -22	43A -22	Origen: OpenStreetMap	6.1540419	-75.609841
OSM-7265311046	ANTIOQUIA	Sabaneta		Calle	Calle 62 Sur # 43A - 28	43A - 28	Origen: OpenStreetMap	6.154075	-75.6098892
OSM-7289113269	ANTIOQUIA	Sabaneta		Carrera	Carrera 43A # 62 sur - 49	62 sur - 49	Origen: OpenStreetMap	6.1536359	-75.6101472
OSM-7289113278	ANTIOQUIA	Sabaneta		Carrera	Carrera 43A # 60 sur - 51	60 sur - 51	Origen: OpenStreetMap	6.1556092	-75.6076768
OSM-8249781217	ANTIOQUIA	Sabaneta		Carrera	Carrera 35 # 56 Sur-69	56 Sur-69	Origen: OpenStreetMap	6.1481602	-75.5996409
OSM-8555615759	ANTIOQUIA	Sabaneta		Calle	Calle 72 Sur # 45A - 49	45A - 49	Origen: OpenStreetMap	6.1512708	-75.6172557
OSM-8555615767	ANTIOQUIA	Sabaneta		Calle	Calle 62 Sur # 43 A 14	43 A 14	Origen: OpenStreetMap	6.1540257	-75.6098172
OSM-9604597088	ANTIOQUIA	Sabaneta		Calle	Calle 75 Sur # 43A - 5	43A - 5	Origen: OpenStreetMap	6.1478161	-75.6164902
OSM-9604597089	ANTIOQUIA	Sabaneta		Carrera	Carrera 43A # 75 Sur - 05	75 Sur - 05	Origen: OpenStreetMap	6.1472089	-75.6163318
OSM-9604597090	ANTIOQUIA	Sabaneta		Carrera	Carrera 43A # 75 Sur - 05	75 Sur - 05	Origen: OpenStreetMap	6.1478578	-75.6165313
OSM-9604597092	ANTIOQUIA	Sabaneta		Carrera	Carrera 43B # 72 Sur 83	72 Sur 83	Origen: OpenStreetMap	6.1510716	-75.6144068
OSM-9604597093	ANTIOQUIA	Sabaneta		Calle	Calle 74A Sur # 43b37	43b37	Origen: OpenStreetMap	6.149135	-75.6168783
OSM-9887931502	ANTIOQUIA	Sabaneta		Etapa	Etapa 2, piso 2 # local 2163	local 2163	Origen: OpenStreetMap	6.1602169	-75.604568
OSM-9925252545	ANTIOQUIA	Sabaneta		Calle	Calle 46 Sur # 39-130	39-130	Origen: OpenStreetMap	6.1499374	-75.6089669
